Sales,Quantity,Profit,Discount,Region,State,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name
261.96,2,41.9136,0,South,Kentucky,1,CA-2017-152156,11/8/2017 0:00,11/11/2017 0:00,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,42420,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
731.94,3,219.582,0,South,Kentucky,2,CA-2017-152156,11/8/2017 0:00,11/11/2017 0:00,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,42420,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
75.88,2,35.6636,0,South,Virginia,70,CA-2017-119823,6/4/2017 0:00,6/6/2017 0:00,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,22153,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
208.16,1,56.2032,0,South,Alabama,80,CA-2017-127208,6/12/2017 0:00,6/15/2017 0:00,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,35601,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
16.74,3,8.0352,0,South,Alabama,81,CA-2017-127208,6/12/2017 0:00,6/15/2017 0:00,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,35601,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
254.058,7,-169.372,0.7,South,Florida,287,CA-2017-112697,12/18/2017 0:00,12/20/2017 0:00,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,33319,OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine
194.528,2,24.316,0.2,South,Florida,288,CA-2017-112697,12/18/2017 0:00,12/20/2017 0:00,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,33319,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
961.48,5,-204.3145,0.2,South,Florida,289,CA-2017-112697,12/18/2017 0:00,12/20/2017 0:00,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,33319,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener
36.24,5,11.325,0.2,South,North Carolina,359,CA-2017-130001,4/23/2017 0:00,4/28/2017 0:00,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Charlotte,28205,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
189.588,2,-145.3508,0.7,South,North Carolina,430,US-2017-123750,4/15/2017 0:00,4/21/2017 0:00,Standard Class,RB-19795,Ross Baird,Home Office,United States,Gastonia,28052,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System
408.744,7,76.6395,0.2,South,North Carolina,431,US-2017-123750,4/15/2017 0:00,4/21/2017 0:00,Standard Class,RB-19795,Ross Baird,Home Office,United States,Gastonia,28052,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
