Sales,Quantity,Profit,Discount,Region,State,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name
15.552,3,5.4432,0.2,South,North Carolina,13,CA-2018-114412,4/15/2018 0:00,4/20/2018 0:00,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,28027,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
95.616,2,9.5616,0.2,South,Florida,44,CA-2018-139619,9/19/2018 0:00,9/23/2018 0:00,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,32935,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
301.96,2,33.2156,0,South,South Carolina,86,CA-2018-140088,5/28/2018 0:00,5/30/2018 0:00,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,29203,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
74.112,8,17.6016,0.2,South,North Carolina,107,CA-2018-119004,11/23/2018 0:00,11/28/2018 0:00,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,28205,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
27.992,1,2.0994,0.2,South,North Carolina,108,CA-2018-119004,11/23/2018 0:00,11/28/2018 0:00,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,28205,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
3.304,1,1.0738,0.2,South,North Carolina,109,CA-2018-119004,11/23/2018 0:00,11/28/2018 0:00,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,28205,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
35.168,7,9.6712,0.2,South,Tennessee,205,CA-2018-126382,6/3/2018 0:00,6/7/2018 0:00,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,37064,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
233.86,2,-102.048,0.45,South,Florida,232,US-2018-100930,4/7/2018 0:00,4/12/2018 0:00,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,33614,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
620.6145,3,-248.2458,0.45,South,Florida,233,US-2018-100930,4/7/2018 0:00,4/12/2018 0:00,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,33614,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
5.328,2,-3.552,0.7,South,Florida,234,US-2018-100930,4/7/2018 0:00,4/12/2018 0:00,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,33614,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
258.072,3,0,0.2,South,Florida,235,US-2018-100930,4/7/2018 0:00,4/12/2018 0:00,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,33614,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
617.976,3,-7.7247,0.2,South,Florida,236,US-2018-100930,4/7/2018 0:00,4/12/2018 0:00,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,33614,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
14.016,3,4.7304,0.2,South,North Carolina,267,CA-2018-136826,6/16/2018 0:00,6/20/2018 0:00,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Chapel Hill,27514,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack"
4.89,1,2.0049,0,South,Virginia,309,CA-2018-126774,4/15/2018 0:00,4/17/2018 0:00,First Class,SH-20395,Shahid Hopkins,Consumer,United States,Arlington,22204,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils
15.992,1,0.9995,0.2,South,Tennessee,326,CA-2018-153339,11/3/2018 0:00,11/5/2018 0:00,Second Class,DJ-13510,Don Jones,Corporate,United States,Murfreesboro,37130,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp
647.84,8,168.4384,0,South,Georgia,360,CA-2018-155698,3/8/2018 0:00,3/11/2018 0:00,First Class,VB-21745,Victoria Brennan,Corporate,United States,Columbus,31907,OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection
20.7,2,9.936,0,South,Georgia,361,CA-2018-155698,3/8/2018 0:00,3/11/2018 0:00,First Class,VB-21745,Victoria Brennan,Corporate,United States,Columbus,31907,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2"""
5.78,1,2.8322,0,South,Kentucky,419,CA-2018-154816,11/6/2018 0:00,11/10/2018 0:00,Standard Class,VB-21745,Victoria Brennan,Corporate,United States,Richmond,40475,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987
866.4,4,225.264,0,South,Mississippi,425,CA-2018-155705,8/21/2018 0:00,8/23/2018 0:00,Second Class,NF-18385,Natalie Fritzler,Consumer,United States,Jackson,39212,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs
683.952,3,42.747,0.2,South,Florida,527,CA-2018-113558,10/21/2018 0:00,10/26/2018 0:00,Standard Class,PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,33801,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs
45.696,3,5.1408,0.2,South,Florida,528,CA-2018-113558,10/21/2018 0:00,10/26/2018 0:00,Standard Class,PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,33801,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
34.504,1,6.0382,0.2,South,Florida,553,CA-2018-112774,9/11/2018 0:00,9/12/2018 0:00,First Class,RC-19960,Ryan Crowe,Consumer,United States,Jacksonville,32216,FUR-FU-10003039,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock"
17.88,3,2.4585,0.2,South,Florida,634,CA-2018-144694,9/24/2018 0:00,9/26/2018 0:00,Second Class,BD-11605,Brian Dahlen,Consumer,United States,Miami,33180,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack"
235.944,3,85.5297,0.2,South,Florida,635,CA-2018-144694,9/24/2018 0:00,9/26/2018 0:00,Second Class,BD-11605,Brian Dahlen,Consumer,United States,Miami,33180,OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box"
7999.98,4,-3839.9904,0.5,South,North Carolina,684,US-2018-168116,11/4/2018 0:00,11/4/2018 0:00,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,27217,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print
167.44,2,14.651,0.2,South,North Carolina,685,US-2018-168116,11/4/2018 0:00,11/4/2018 0:00,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,27217,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red"
24.448,4,8.8624,0.2,South,Florida,712,CA-2018-146136,9/3/2018 0:00,9/7/2018 0:00,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,32137,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes"
12.39,3,5.6994,0,South,Georgia,762,CA-2018-126046,11/3/2018 0:00,11/7/2018 0:00,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Atlanta,30318,OFF-LA-10004484,Office Supplies,Labels,Avery 476
301.96,2,90.588,0,South,Kentucky,830,CA-2018-129462,6/16/2018 0:00,6/21/2018 0:00,Second Class,JE-15745,Joel Eaton,Consumer,United States,Florence,41042,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black"
180.66,3,50.5848,0,South,Kentucky,831,CA-2018-129462,6/16/2018 0:00,6/21/2018 0:00,Second Class,JE-15745,Joel Eaton,Consumer,United States,Florence,41042,OFF-AP-10003884,Office Supplies,Appliances,"Fellowes Smart Surge Ten-Outlet Protector, Platinum"
191.98,2,51.8346,0,South,Kentucky,832,CA-2018-129462,6/16/2018 0:00,6/21/2018 0:00,Second Class,JE-15745,Joel Eaton,Consumer,United States,Florence,41042,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED
65.99,1,17.1574,0,South,Kentucky,833,CA-2018-129462,6/16/2018 0:00,6/21/2018 0:00,Second Class,JE-15745,Joel Eaton,Consumer,United States,Florence,41042,TEC-PH-10002085,Technology,Phones,Clarity 53712
9.664,2,3.2616,0.2,South,Tennessee,838,US-2018-156083,11/4/2018 0:00,11/11/2018 0:00,Standard Class,JL-15175,James Lanier,Home Office,United States,Columbia,38401,OFF-PA-10001560,Office Supplies,Paper,"Adams Telephone Message Books, 5 1/4"" x 11"""
192.16,5,67.256,0.2,South,North Carolina,875,CA-2018-114636,8/25/2018 0:00,8/29/2018 0:00,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Charlotte,28205,OFF-PA-10001790,Office Supplies,Paper,Xerox 1910
173.8,5,43.45,0,South,Mississippi,956,CA-2018-119305,11/30/2018 0:00,12/4/2018 0:00,Standard Class,SW-20275,Scott Williamson,Consumer,United States,Jackson,39212,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
23.968,7,2.6964,0.2,South,North Carolina,1039,CA-2018-121818,11/20/2018 0:00,11/21/2018 0:00,First Class,JH-15430,Jennifer Halladay,Consumer,United States,Burlington,27217,OFF-AR-10000203,Office Supplies,Art,Newell 336
28.728,3,1.7955,0.2,South,North Carolina,1040,CA-2018-121818,11/20/2018 0:00,11/21/2018 0:00,First Class,JH-15430,Jennifer Halladay,Consumer,United States,Burlington,27217,OFF-AR-10004790,Office Supplies,Art,Staples in misc. colors
31.984,2,1.999,0.2,South,North Carolina,1090,CA-2018-158407,6/4/2018 0:00,6/10/2018 0:00,Standard Class,LW-16990,Lindsay Williams,Corporate,United States,Monroe,28110,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp
71.984,2,25.1944,0.2,South,North Carolina,1091,CA-2018-158407,6/4/2018 0:00,6/10/2018 0:00,Standard Class,LW-16990,Lindsay Williams,Corporate,United States,Monroe,28110,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit
