Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Product,Sales,Quantity,Profit,Order Year,Order Month,Order Day,Ship Year,Ship Month,Ship Day,Discounts
15,US-2016-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,-123.858,2016,11,22,2016,11,26,0.8
16,US-2016-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,-3.816,2016,11,22,2016,11,26,0.8
17,CA-2015-105893,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,13.3176,2015,11,11,2015,11,18,None
22,CA-2017-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,5.0596,2017,12,9,2017,12,13,None
23,CA-2017-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,15.6884,2017,12,9,2017,12,13,None
35,CA-2018-107727,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,9.9468,2018,10,19,2018,10,23,0.2
36,CA-2017-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,123.4737,2017,12,8,2017,12,10,0.2
37,CA-2017-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,-147.963,2017,12,8,2017,12,10,0.6
38,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,35.415,2016,12,27,2016,12,31,0.2
39,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,-46.9764,2016,12,27,2016,12,31,0.32
40,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,-15.147,2016,12,27,2016,12,31,0.3
41,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,41.7564,2016,12,27,2016,12,31,0.2
42,CA-2018-120999,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,16.5564,2018,9,10,2018,9,15,0.2
45,CA-2017-118255,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,19.7714,2017,3,11,2017,3,13,None
