Table Names,Category,City,Country,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Sales
Orders_East.xlsx/Orders_East,Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,0.3,16-07-2018 00:00:00,US-2018-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",-1.0196,2,East,24,Consumer,18-07-2018 00:00:00,Second Class,Pennsylvania,Chairs,71.37
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,17-09-2016 00:00:00,US-2016-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-7.0532,2,East,29,Consumer,21-09-2016 00:00:00,Standard Class,Pennsylvania,Binders,9.61
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,17-09-2016 00:00:00,US-2016-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-5.715,6,East,33,Consumer,21-09-2016 00:00:00,Standard Class,Pennsylvania,Binders,6.85
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,FH-14365,Fred Hopkins,0.7,06-07-2018 00:00:00,US-2018-124303,19120,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-2.2586,2,East,199,Corporate,13-07-2018 00:00:00,Standard Class,Pennsylvania,Binders,2.94
Orders_East.xlsx/Orders_East,Technology,Medina,United States,VW-21775,Victoria Wilson,0.7,02-01-2016 00:00:00,CA-2016-146262,44256,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,-950.4,9,East,216,Corporate,09-01-2016 00:00:00,Standard Class,Ohio,Machines,1188
Orders_East.xlsx/Orders_East,Office Supplies,Dublin,United States,JB-15925,Joni Blumstein,0.7,24-12-2016 00:00:00,CA-2016-169397,43017,OFF-BI-10002852,Ibico Standard Transparent Covers,-13.8432,4,East,222,Consumer,27-12-2016 00:00:00,First Class,Ohio,Binders,24
Orders_East.xlsx/Orders_East,Technology,Dublin,United States,JB-15925,Joni Blumstein,0.7,24-12-2016 00:00:00,CA-2016-169397,43017,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,-383.9904,4,East,224,Consumer,27-12-2016 00:00:00,First Class,Ohio,Machines,252
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,PO-18850,Patrick O'Brill,0.7,30-08-2017 00:00:00,US-2017-141544,19143,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,-27.6936,6,East,331,Consumer,01-09-2017 00:00:00,First Class,Pennsylvania,Binders,28
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,JL-15850,John Lucas,0.7,25-04-2017 00:00:00,US-2017-150147,19134,OFF-BI-10001153,Ibico Recycled Grain-Textured Covers,-13.816,2,East,333,Consumer,29-04-2017 00:00:00,Second Class,Pennsylvania,Binders,40
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,JL-15850,John Lucas,0.7,25-04-2017 00:00:00,US-2017-150147,19134,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,-3.4272,3,East,334,Consumer,29-04-2017 00:00:00,Second Class,Pennsylvania,Binders,8
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,JD-15895,Jonathan Doherty,0.7,13-04-2015 00:00:00,CA-2015-122336,19140,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,-407.976,10,East,342,Corporate,17-04-2015 00:00:00,Second Class,Pennsylvania,Binders,288
Orders_East.xlsx/Orders_East,Technology,Philadelphia,United States,DK-13225,Dean Katz,0.7,03-12-2016 00:00:00,CA-2016-122756,19140,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,-337.638,4,East,387,Corporate,07-12-2016 00:00:00,Standard Class,Pennsylvania,Machines,72
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,AR-10510,Andrew Roberts,0.7,23-05-2015 00:00:00,US-2015-105767,19134,OFF-BI-10000848,Angle-D Ring Binders,-2.6256,2,East,608,Consumer,27-05-2015 00:00:00,Standard Class,Pennsylvania,Binders,6
Orders_East.xlsx/Orders_East,Office Supplies,Grove City,United States,CK-12595,Clytie Kelty,0.7,14-11-2018 00:00:00,CA-2018-138611,43123,OFF-BI-10002949,Prestige Round Ring Binders,-2.7968,2,East,616,Consumer,17-11-2018 00:00:00,Second Class,Ohio,Binders,45
Orders_East.xlsx/Orders_East,Office Supplies,Columbus,United States,CR-12730,Craig Reiter,0.7,22-08-2017 00:00:00,CA-2017-137239,43229,OFF-BI-10002827,Avery Durable Poly Binders,-2.6544,2,East,656,Consumer,28-08-2017 00:00:00,Standard Class,Ohio,Binders,30
Orders_East.xlsx/Orders_East,Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,0.7,14-05-2016 00:00:00,CA-2016-119291,19013,OFF-BI-10001575,GBC Linen Binding Covers,-13.6312,2,East,700,Home Office,17-05-2016 00:00:00,First Class,Pennsylvania,Binders,360
Orders_East.xlsx/Orders_East,Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,0.7,14-05-2016 00:00:00,CA-2016-119291,19013,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,-3.4272,3,East,701,Home Office,17-05-2016 00:00:00,First Class,Pennsylvania,Binders,22
Orders_East.xlsx/Orders_East,Office Supplies,Columbus,United States,BM-11785,Bryan Mills,0.7,03-10-2016 00:00:00,US-2016-157014,43229,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,-22.449,5,East,782,Consumer,06-10-2016 00:00:00,Second Class,Ohio,Binders,238
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,CA-12775,Cynthia Arntzen,0.7,28-06-2015 00:00:00,CA-2015-140858,19140,OFF-BI-10003094,Self-Adhesive Ring Binder Labels,-2.4288,3,East,819,Consumer,02-07-2015 00:00:00,Standard Class,Pennsylvania,Binders,597
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,CA-12775,Cynthia Arntzen,0.7,28-06-2015 00:00:00,CA-2015-140858,19140,OFF-BI-10004230,GBC Recycled Grain Textured Covers,-22.7964,3,East,821,Consumer,02-07-2015 00:00:00,Standard Class,Pennsylvania,Binders,26
Orders_East.xlsx/Orders_East,Office Supplies,Lancaster,United States,GP-14740,Guy Phonely,0.7,06-04-2015 00:00:00,CA-2015-136742,17602,OFF-BI-10003719,Large Capacity Hanging Post Binders,-35.928,6,East,869,Corporate,10-04-2015 00:00:00,Standard Class,Pennsylvania,Binders,252
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,PK-18910,Paul Knutson,0.7,03-09-2017 00:00:00,CA-2017-158099,19143,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,-760.98,5,East,870,Home Office,05-09-2017 00:00:00,First Class,Pennsylvania,Binders,37
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,AG-10765,Anthony Garverick,0.7,17-09-2015 00:00:00,US-2015-158638,19120,OFF-BI-10003712,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",-4.1244,4,East,879,Home Office,21-09-2015 00:00:00,Standard Class,Pennsylvania,Binders,345
Orders_East.xlsx/Orders_East,Office Supplies,Springfield,United States,JR-16210,Justin Ritter,0.7,10-04-2017 00:00:00,US-2017-114622,45503,OFF-BI-10004716,Wilson Jones Hanging Recycled Pressboard Data Binders,-6.5296,2,East,900,Corporate,12-04-2017 00:00:00,First Class,Ohio,Binders,50
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,CG-12040,Catherine Glotzbach,0.7,20-06-2017 00:00:00,CA-2017-140081,19120,OFF-BI-10004826,JM Magazine Binder,-21.7932,6,East,935,Home Office,24-06-2017 00:00:00,Standard Class,Pennsylvania,Binders,35
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,0.7,16-01-2015 00:00:00,CA-2015-115791,19134,OFF-BI-10001575,GBC Linen Binding Covers,-13.6312,2,East,973,Consumer,18-01-2015 00:00:00,Second Class,Pennsylvania,Binders,26.34
Orders_East.xlsx/Orders_East,Office Supplies,Cincinnati,United States,AG-10390,Allen Goldenen,0.7,20-11-2017 00:00:00,CA-2017-109820,45231,OFF-BI-10003460,Acco 3-Hole Punch,-1.9272,2,East,1035,Consumer,22-11-2017 00:00:00,First Class,Ohio,Binders,90
Orders_East.xlsx/Orders_East,Office Supplies,Cincinnati,United States,AG-10390,Allen Goldenen,0.7,20-11-2017 00:00:00,CA-2017-109820,45231,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-10.5798,3,East,1036,Consumer,22-11-2017 00:00:00,First Class,Ohio,Binders,29.55
Orders_East.xlsx/Orders_East,Office Supplies,Toledo,United States,TS-21160,Theresa Swint,0.7,16-04-2016 00:00:00,CA-2016-161263,43615,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",-46.225,5,East,1067,Corporate,21-04-2016 00:00:00,Standard Class,Ohio,Binders,414
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,RB-19795,Ross Baird,0.7,25-07-2016 00:00:00,US-2016-150161,19143,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,-18.4624,4,East,1070,Home Office,29-07-2016 00:00:00,Standard Class,Pennsylvania,Binders,18.22
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,SP-20620,Stefania Perrino,0.7,09-09-2018 00:00:00,US-2018-118087,19134,OFF-BI-10002432,Wilson Jones Standard D-Ring Binders,-2.3276,2,East,1214,Corporate,13-09-2018 00:00:00,Standard Class,Pennsylvania,Binders,716
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,SP-20620,Stefania Perrino,0.7,09-09-2018 00:00:00,US-2018-118087,19134,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",-3.6024,1,East,1215,Corporate,13-09-2018 00:00:00,Standard Class,Pennsylvania,Binders,33.1
Orders_East.xlsx/Orders_East,Office Supplies,Cincinnati,United States,MC-17575,Matt Collins,0.7,03-02-2018 00:00:00,CA-2018-167703,45231,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,-4.1832,3,East,1321,Consumer,08-02-2018 00:00:00,Standard Class,Ohio,Binders,8
Orders_East.xlsx/Orders_East,Office Supplies,Philadelphia,United States,TS-21160,Theresa Swint,0.7,23-04-2015 00:00:00,US-2015-112564,19134,OFF-BI-10004876,Wilson Jones Suede Grain Vinyl Binders,-1.7514,3,East,1449,Corporate,24-04-2015 00:00:00,First Class,Pennsylvania,Binders,74
